source_year,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,publisher,book_url,image_url,source
1900,The Lost World,Arthur Conan Doyle,4.0454545,44,0,"The Lost World Arthur Conan Doyle Adventure stories, Atlantis, Dinosaurs, Discovery and exploration, English Detective and mystery stories, Fiction, Fiction in French, Prehistoric peoples, Professor Challenger (Fictitious character), Scientific expeditions Babblebooks, Sound Room Publishers, Incorporated, Blurb, Chicago Review Press, Incorporated, Dover Publications, Incorporated","Adventure stories, Atlantis, Dinosaurs, Discovery and exploration, English Detective and mystery stories, Fiction, Fiction in French, Prehistoric peoples, Professor Challenger (Fictitious character), Scientific expeditions",,"Babblebooks, Sound Room Publishers, Incorporated, Blurb, Chicago Review Press, Incorporated, Dover Publications, Incorporated",https://openlibrary.org/works/OL262460W,https://covers.openlibrary.org/b/id/8231444-M.jpg,Open Library API
1900,The Clan of the Cave Bear,Jean M. Auel,4.0547943,73,0,"The Clan of the Cave Bear Jean M. Auel Neanderthals, shamanism, sign language, taboos, prehistoric fiction, epic, epic fiction, prehistoric man, epic literature, historical fiction Brilliance Audio on MP3-CD Lib Ed, Wolfgang Kruger Verlag, Guild Publishing, Vergara Editor S.A., Crown Publishers","Neanderthals, shamanism, sign language, taboos, prehistoric fiction, epic, epic fiction, prehistoric man, epic literature, historical fiction",,"Brilliance Audio on MP3-CD Lib Ed, Wolfgang Kruger Verlag, Guild Publishing, Vergara Editor S.A., Crown Publishers",https://openlibrary.org/works/OL2746369W,https://covers.openlibrary.org/b/id/12529015-M.jpg,Open Library API
1900,No country for old men,Cormac McCarthy,4.111111,36,0,"No country for old men Cormac McCarthy Fiction, Drug traffic, Sheriffs, Treasure-trove, Treasure troves, Suspense fiction, Literature, Psychological fiction, Fiction, suspense, Fiction, psychological GPO ED RANDOM HOUSE MONDADORI, MacMillan, Brand: Random House Inc., BBC Audiobooks Ltd, Literatura Random House","Fiction, Drug traffic, Sheriffs, Treasure-trove, Treasure troves, Suspense fiction, Literature, Psychological fiction, Fiction, suspense, Fiction, psychological",,"GPO ED RANDOM HOUSE MONDADORI, MacMillan, Brand: Random House Inc., BBC Audiobooks Ltd, Literatura Random House",https://openlibrary.org/works/OL40875W,https://covers.openlibrary.org/b/id/9296899-M.jpg,Open Library API
1900,The Prophet,Kahlil Gibran,4.321429,56,0,"The Prophet Kahlil Gibran Poetry, Classics, Literature & Fiction, Religion Patmos-Verlag, Patmos, Ballantine Books, Pmapublishing.com, Peter Pauper Press Inc.","Poetry, Classics, Literature & Fiction, Religion",,"Patmos-Verlag, Patmos, Ballantine Books, Pmapublishing.com, Peter Pauper Press Inc.",https://openlibrary.org/works/OL318900W,https://covers.openlibrary.org/b/id/418324-M.jpg,Open Library API
1900,The Railway Children,Edith Nesbit,3.9655173,29,0,"The Railway Children Edith Nesbit Brothers and sisters, Children's stories, Classic Literature, Country life, Family, Family life, Fiction, History, Juvenile Literature, Juvenile fiction HV Publishign, a division of Homepage Ventures, Limited, Penguin Puffin Books, Creative Media Partners, LLC, Isis Large Print Books, Pearson Education, Limited","Brothers and sisters, Children's stories, Classic Literature, Country life, Family, Family life, Fiction, History, Juvenile Literature, Juvenile fiction",,"HV Publishign, a division of Homepage Ventures, Limited, Penguin Puffin Books, Creative Media Partners, LLC, Isis Large Print Books, Pearson Education, Limited",https://openlibrary.org/works/OL99509W,https://covers.openlibrary.org/b/id/13241123-M.jpg,Open Library API
1900,The Scarlet Pimpernel,Emma Orczy,4.25,28,0,"The Scarlet Pimpernel Emma Orczy Classic Literature, Adventure and adventurers, Open Library Staff Picks, British, Fiction, Text-books for foreigners, English language, Historical Fiction, Sir Blakeney, Percy (Fictitious character), Refugees Peter Smith Publisher Inc, Bantam Classics, American Guidance Service, Musson Books, IndyPublish","Classic Literature, Adventure and adventurers, Open Library Staff Picks, British, Fiction, Text-books for foreigners, English language, Historical Fiction, Sir Blakeney, Percy (Fictitious character), Refugees",,"Peter Smith Publisher Inc, Bantam Classics, American Guidance Service, Musson Books, IndyPublish",https://openlibrary.org/works/OL1253285W,https://covers.openlibrary.org/b/id/479102-M.jpg,Open Library API
1900,The food of the gods and how it came to earth,H. G. Wells,3.7777777,18,0,"The food of the gods and how it came to earth H. G. Wells Fiction, Giants, Growth factors, Food supply, Science fiction, Agriculture, Experimentation, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Scientists American Guidance Service, C. Scribner's Sons, Collins Classics, Gollancz, Macmillan and Co., Limited","Fiction, Giants, Growth factors, Food supply, Science fiction, Agriculture, Experimentation, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Scientists",,"American Guidance Service, C. Scribner's Sons, Collins Classics, Gollancz, Macmillan and Co., Limited",https://openlibrary.org/works/OL52195W,https://covers.openlibrary.org/b/id/314687-M.jpg,Open Library API
1900,Semilla del Diablo,Ira Levin,4.0,22,0,"Semilla del Diablo Ira Levin Fiction, horror, Fiction, Satanism, Occult fiction, Apartment houses, Pregnant women, Horror tales, spirit posession, Gothic-Revival, Luther Dell Publishing, Laffont, Pan, Random House, Editions J'ai Lu","Fiction, horror, Fiction, Satanism, Occult fiction, Apartment houses, Pregnant women, Horror tales, spirit posession, Gothic-Revival, Luther",,"Dell Publishing, Laffont, Pan, Random House, Editions J'ai Lu",https://openlibrary.org/works/OL21747086W,https://covers.openlibrary.org/b/id/15054795-M.jpg,Open Library API
1900,The Hound of the Baskervilles,Arthur Conan Doyle,4.016667,60,0,"The Hound of the Baskervilles Arthur Conan Doyle crime novel, English Civil War, mires, tors, tombs, Dogs, England, fiction, Watson, john h. (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional Marti Yayinlari, Zeplin Kitap, Leopard, Saddleback Educational Publishing, Incorporated, F. Nathan","crime novel, English Civil War, mires, tors, tombs, Dogs, England, fiction, Watson, john h. (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional",,"Marti Yayinlari, Zeplin Kitap, Leopard, Saddleback Educational Publishing, Incorporated, F. Nathan",https://openlibrary.org/works/OL262454W,https://covers.openlibrary.org/b/id/8063264-M.jpg,Open Library API
1900,The Classic Tale of the Velveteen Rabbit,Margery Williams Bianco,4.125,40,0,"The Classic Tale of the Velveteen Rabbit Margery Williams Bianco Toys, Fiction, Children's fiction, Toys, fiction, Gift books, Animals, fiction, Rabbits, fiction, Rabbits, Stuffed animals (Toys), Juvenile fiction Nosy Crow Ltd, Joe Books Inc., Independently Published, GiGi Books, LLC, Heinemann","Toys, Fiction, Children's fiction, Toys, fiction, Gift books, Animals, fiction, Rabbits, fiction, Rabbits, Stuffed animals (Toys), Juvenile fiction",,"Nosy Crow Ltd, Joe Books Inc., Independently Published, GiGi Books, LLC, Heinemann",https://openlibrary.org/works/OL274433W,https://covers.openlibrary.org/b/id/11738076-M.jpg,Open Library API
