source_year,rank,list_title,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,published_date,language,publisher,isbn,edition_count,book_url,image_url,source
1900,,,The Lost World,Arthur Conan Doyle,4.0454545,44.0,,,"Adventure stories, Atlantis, Dinosaurs, Discovery and exploration, English Detective and mystery stories, Fiction, Fiction in French, Prehistoric peoples, Professor Challenger (Fictitious character), Scientific expeditions",,1900,"ger, eng, spa, cze, chi, ita, rus, fin, fre","Babblebooks, Sound Room Publishers, Incorporated, Blurb, Chicago Review Press, Incorporated, Dover Publications, Incorporated",1549678922,747,https://openlibrary.org/works/OL262460W,https://covers.openlibrary.org/b/id/8231444-M.jpg,Open Library API
1900,,,The Clan of the Cave Bear,Jean M. Auel,4.0547943,73.0,,,"Neanderthals, shamanism, sign language, taboos, prehistoric fiction, epic, epic fiction, prehistoric man, epic literature, historical fiction",,1900,"ger, eng, pol, spa, ita, swe, dut, fre, hrv","Brilliance Audio on MP3-CD Lib Ed, Wolfgang Kruger Verlag, Guild Publishing, Vergara Editor S.A., Crown Publishers",9788415120032,89,https://openlibrary.org/works/OL2746369W,https://covers.openlibrary.org/b/id/12529015-M.jpg,Open Library API
1900,,,No country for old men,Cormac McCarthy,4.111111,36.0,,,"Fiction, Drug traffic, Sheriffs, Treasure-trove, Treasure troves, Suspense fiction, Literature, Psychological fiction, Fiction, suspense, Fiction, psychological",,1900,"eng, rus, fre, pol, spa, tur, kor, ita","GPO ED RANDOM HOUSE MONDADORI, MacMillan, Brand: Random House Inc., BBC Audiobooks Ltd, Literatura Random House",9780375406775,44,https://openlibrary.org/works/OL40875W,https://covers.openlibrary.org/b/id/9296899-M.jpg,Open Library API
1900,,,The Prophet,Kahlil Gibran,4.321429,56.0,,,"Poetry, Classics, Literature & Fiction, Religion",,1900,"ger, heb, guj, eng, tgl, kor, mul, hrv, tur, spa, ita, yid, chi, ara, fre, bre, arm","Patmos-Verlag, Patmos, Ballantine Books, Pmapublishing.com, Peter Pauper Press Inc.",9501702162,569,https://openlibrary.org/works/OL318900W,https://covers.openlibrary.org/b/id/418324-M.jpg,Open Library API
1900,,,The Railway Children,Edith Nesbit,3.9655173,29.0,,,"Brothers and sisters, Children's stories, Classic Literature, Country life, Family, Family life, Fiction, History, Juvenile Literature, Juvenile fiction",,1900,"chi, eng, spa, heb, tur, ger, ita","HV Publishign, a division of Homepage Ventures, Limited, Penguin Puffin Books, Creative Media Partners, LLC, Isis Large Print Books, Pearson Education, Limited",9781981610983,985,https://openlibrary.org/works/OL99509W,https://covers.openlibrary.org/b/id/13241123-M.jpg,Open Library API
1900,,,The Scarlet Pimpernel,Emma Orczy,4.25,28.0,,,"Classic Literature, Adventure and adventurers, Open Library Staff Picks, British, Fiction, Text-books for foreigners, English language, Historical Fiction, Sir Blakeney, Percy (Fictitious character), Refugees",,1900,"eng, sun, pol, spa, chi, fre","Peter Smith Publisher Inc, Bantam Classics, American Guidance Service, Musson Books, IndyPublish",0241341345,591,https://openlibrary.org/works/OL1253285W,https://covers.openlibrary.org/b/id/479102-M.jpg,Open Library API
1900,,,The food of the gods and how it came to earth,H. G. Wells,3.7777777,18.0,,,"Fiction, Giants, Growth factors, Food supply, Science fiction, Agriculture, Experimentation, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Scientists",,1900,"por, eng","American Guidance Service, C. Scribner's Sons, Collins Classics, Gollancz, Macmillan and Co., Limited",042502976X,194,https://openlibrary.org/works/OL52195W,https://covers.openlibrary.org/b/id/314687-M.jpg,Open Library API
1900,,,Semilla del Diablo,Ira Levin,4.0,22.0,,,"Fiction, horror, Fiction, Satanism, Occult fiction, Apartment houses, Pregnant women, Horror tales, spirit posession, Gothic-Revival, Luther",,1900,"heb, spa, ger, dut, fre, vie, eng","Dell Publishing, Laffont, Pan, Random House, Editions J'ai Lu",9780394553689,65,https://openlibrary.org/works/OL21747086W,https://covers.openlibrary.org/b/id/15054795-M.jpg,Open Library API
1900,,,The Hound of the Baskervilles,Arthur Conan Doyle,4.016667,60.0,,,"crime novel, English Civil War, mires, tors, tombs, Dogs, England, fiction, Watson, john h. (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional",,1900,"jpn, ita, ara, kor, gle, bul, pol, por, ger, hin, dut, may, heb, cat, spa, fin, eng, fre, cze, chi","Marti Yayinlari, Zeplin Kitap, Leopard, Saddleback Educational Publishing, Incorporated, F. Nathan",2378301367,1309,https://openlibrary.org/works/OL262454W,https://covers.openlibrary.org/b/id/8063264-M.jpg,Open Library API
1900,,,The Classic Tale of the Velveteen Rabbit,Margery Williams Bianco,4.125,40.0,,,"Toys, Fiction, Children's fiction, Toys, fiction, Gift books, Animals, fiction, Rabbits, fiction, Rabbits, Stuffed animals (Toys), Juvenile fiction",,1900,"spa, eng, dut, fre, chi, heb, rus","Nosy Crow Ltd, Joe Books Inc., Independently Published, GiGi Books, LLC, Heinemann",9780613168717,168,https://openlibrary.org/works/OL274433W,https://covers.openlibrary.org/b/id/11738076-M.jpg,Open Library API
