source_year,rank,list_title,book_url,source
1975,1,’Salem’s Lot,https://www.goodreads.com/book/show/11590._Salem_s_Lot,Goodreads Popular by Year
1975,2,Tuck Everlasting,https://www.goodreads.com/book/show/84981.Tuck_Everlasting,Goodreads Popular by Year
1975,3,"Shōgun (Asian Saga, #1)",https://www.goodreads.com/book/show/52382796-sh-gun,Goodreads Popular by Year
1975,4,Factotum,https://www.goodreads.com/book/show/497199.Factotum,Goodreads Popular by Year
1975,5,Discipline and Punish: The Birth of the Prison,https://www.goodreads.com/book/show/80369.Discipline_and_Punish,Goodreads Popular by Year
1975,6,"Crocodile on the Sandbank (Amelia Peabody, #1)",https://www.goodreads.com/book/show/40881649-crocodile-on-the-sandbank,Goodreads Popular by Year
1975,7,Forever...,https://www.goodreads.com/book/show/37743.Forever_,Goodreads Popular by Year
1975,8,"Where Are the Children? (Where Are the Children, #1)",https://www.goodreads.com/book/show/43339.Where_Are_the_Children_,Goodreads Popular by Year
1975,9,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,https://www.goodreads.com/book/show/95747.The_Miracle_of_Mindfulness,Goodreads Popular by Year
1975,10,Danny the Champion of the World,https://www.goodreads.com/book/show/6690.Danny_the_Champion_of_the_World,Goodreads Popular by Year
1976,1,"Interview with the Vampire (The Vampire Chronicles, #1)",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,Goodreads Popular by Year
1976,2,The Selfish Gene,https://www.goodreads.com/book/show/61535.The_Selfish_Gene,Goodreads Popular by Year
1976,3,Children of Dune (Dune #3),https://www.goodreads.com/book/show/44492286-children-of-dune,Goodreads Popular by Year
1976,4,Roots: The Saga of an American Family,https://www.goodreads.com/book/show/546018.Roots,Goodreads Popular by Year
1976,5,"Roll of Thunder, Hear My Cry (Logans, #4)",https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry,Goodreads Popular by Year
1976,6,"All Things Bright and Beautiful (All Creatures Great and Small, #3-4)",https://www.goodreads.com/book/show/38743.All_Things_Bright_and_Beautiful,Goodreads Popular by Year
1976,7,The Omen,https://www.goodreads.com/book/show/226162.The_Omen,Goodreads Popular by Year
1976,8,On Writing Well: The Classic Guide to Writing Nonfiction,https://www.goodreads.com/book/show/53343.On_Writing_Well,Goodreads Popular by Year
1976,9,A Course in Miracles: Combined Volume,https://www.goodreads.com/book/show/173673.A_Course_in_Miracles,Goodreads Popular by Year
1976,10,"Sleeping Murder (Miss Marple, #12)",https://www.goodreads.com/book/show/16300.Sleeping_Murder,Goodreads Popular by Year
1977,1,"The Shining (The Shining, #1)",https://www.goodreads.com/book/show/11588.The_Shining,Goodreads Popular by Year
1977,2,Bridge to Terabithia,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia,Goodreads Popular by Year
1977,3,The Silmarillion,https://www.goodreads.com/book/show/7332.The_Silmarillion,Goodreads Popular by Year
1977,4,The Thorn Birds,https://www.goodreads.com/book/show/3412.The_Thorn_Birds,Goodreads Popular by Year
1977,5,Song of Solomon,https://www.goodreads.com/book/show/11334.Song_of_Solomon,Goodreads Popular by Year
1977,6,The Amityville Horror,https://www.goodreads.com/book/show/293101.The_Amityville_Horror,Goodreads Popular by Year
1977,7,A Scanner Darkly,https://www.goodreads.com/book/show/14817.A_Scanner_Darkly,Goodreads Popular by Year
1977,8,"The Sword of Shannara (The Original Shannara Trilogy, #1)",https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,Goodreads Popular by Year
1977,9,The Hour of the Star,https://www.goodreads.com/book/show/762390.The_Hour_of_the_Star,Goodreads Popular by Year
1977,10,"Miss Nelson Is Missing! (Miss Nelson, #1)",https://www.goodreads.com/book/show/147732.Miss_Nelson_Is_Missing_,Goodreads Popular by Year
1978,1,The Stand,https://www.goodreads.com/book/show/87591651-the-stand,Goodreads Popular by Year
1978,2,The Westing Game,https://www.goodreads.com/book/show/902.The_Westing_Game,Goodreads Popular by Year
1978,3,The World According to Garp,https://www.goodreads.com/book/show/7069.The_World_According_to_Garp,Goodreads Popular by Year
1978,4,Night Shift,https://www.goodreads.com/book/show/10628.Night_Shift,Goodreads Popular by Year
1978,5,Eye of the Needle,https://www.goodreads.com/book/show/92364.Eye_of_the_Needle,Goodreads Popular by Year
1978,6,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",https://www.goodreads.com/book/show/347852.The_Road_Less_Traveled,Goodreads Popular by Year
1978,7,Requiem for a Dream,https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream,Goodreads Popular by Year
1978,8,"Cloudy with a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",https://www.goodreads.com/book/show/8073.Cloudy_with_a_Chance_of_Meatballs,Goodreads Popular by Year
1978,9,Women,https://www.goodreads.com/book/show/38500.Women,Goodreads Popular by Year
1978,10,Orientalism,https://www.goodreads.com/book/show/355190.Orientalism,Goodreads Popular by Year
1979,1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Goodreads Popular by Year
1979,2,Kindred,https://www.goodreads.com/book/show/60931.Kindred,Goodreads Popular by Year
1979,3,The New Drawing on the Right Side of the Brain,https://www.goodreads.com/book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain,Goodreads Popular by Year
1979,4,The Long Walk,https://www.goodreads.com/book/show/9014.The_Long_Walk,Goodreads Popular by Year
1979,5,"Flowers in the Attic (Dollanganger, #1)",https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic,Goodreads Popular by Year
1979,6,The Neverending Story,https://www.goodreads.com/book/show/27712.The_Neverending_Story,Goodreads Popular by Year
1979,7,The Dead Zone,https://www.goodreads.com/book/show/11573.The_Dead_Zone,Goodreads Popular by Year
1979,8,If on a Winter's Night a Traveler,https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler,Goodreads Popular by Year
1979,9,"The Rise of Theodore Roosevelt (Theodore Roosevelt, #1)",https://www.goodreads.com/book/show/40929.The_Rise_of_Theodore_Roosevelt,Goodreads Popular by Year
1979,10,"Gödel, Escher, Bach: An Eternal Golden Braid",https://www.goodreads.com/book/show/24113.G_del_Escher_Bach,Goodreads Popular by Year
1980,1,The Name of the Rose,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,Goodreads Popular by Year
1980,2,A People’s History of the United States: 1492 - Present,https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States,Goodreads Popular by Year
1980,3,"The Bourne Identity (Jason Bourne, #1)",https://www.goodreads.com/book/show/7869.The_Bourne_Identity,Goodreads Popular by Year
1980,4,A Confederacy of Dunces,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,Goodreads Popular by Year
1980,5,The Complete Maus,https://www.goodreads.com/book/show/15195.The_Complete_Maus,Goodreads Popular by Year
1980,6,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe,Goodreads Popular by Year
1980,7,"The Clan of the Cave Bear (Earth's Children, #1)",https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear,Goodreads Popular by Year
1980,8,Cosmos,https://www.goodreads.com/book/show/55030.Cosmos,Goodreads Popular by Year
1980,9,Firestarter,https://www.goodreads.com/book/show/233667.Firestarter,Goodreads Popular by Year
1980,10,The Mist,https://www.goodreads.com/book/show/813214.The_Mist,Goodreads Popular by Year
1981,1,A Light in the Attic,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic,Goodreads Popular by Year
1981,2,"Red Dragon (Hannibal Lecter, #1)",https://www.goodreads.com/book/show/28877.Red_Dragon,Goodreads Popular by Year
1981,3,Cujo,https://www.goodreads.com/book/show/10603.Cujo,Goodreads Popular by Year
1981,4,Midnight’s Children,https://www.goodreads.com/book/show/14836.Midnight_s_Children,Goodreads Popular by Year
1981,5,Chronicle of a Death Foretold,https://www.goodreads.com/book/show/23878.Chronicle_of_a_Death_Foretold,Goodreads Popular by Year
1981,6,God Emperor of Dune (Dune #4),https://www.goodreads.com/book/show/44439415-god-emperor-of-dune,Goodreads Popular by Year
1981,7,The One Minute Manager,https://www.goodreads.com/book/show/763362.The_One_Minute_Manager,Goodreads Popular by Year
1981,8,Getting to Yes: Negotiating Agreement Without Giving In,https://www.goodreads.com/book/show/313605.Getting_to_Yes,Goodreads Popular by Year
1981,9,What We Talk About When We Talk About Love,https://www.goodreads.com/book/show/11438.What_We_Talk_About_When_We_Talk_About_Love,Goodreads Popular by Year
1981,10,"Women, Race & Class",https://www.goodreads.com/book/show/635635.Women_Race_Class,Goodreads Popular by Year
1982,1,The Color Purple,https://www.goodreads.com/book/show/52892857-the-color-purple,Goodreads Popular by Year
1982,2,"The Gunslinger (Dark Tower, #1)",https://www.goodreads.com/book/show/247642509-the-gunslinger,Goodreads Popular by Year
1982,3,The BFG,https://www.goodreads.com/book/show/6319.The_BFG,Goodreads Popular by Year
1982,4,The House of the Spirits,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits,Goodreads Popular by Year
1982,5,"The Mists of Avalon (Avalon, #1)",https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,Goodreads Popular by Year
1982,6,Schindler’s List,https://www.goodreads.com/book/show/375013.Schindler_s_List,Goodreads Popular by Year
1982,7,Different Seasons,https://www.goodreads.com/book/show/39662.Different_Seasons,Goodreads Popular by Year
1982,8,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything,Goodreads Popular by Year
1982,9,The Running Man,https://www.goodreads.com/book/show/11607.The_Running_Man,Goodreads Popular by Year
1982,10,A Is for Alibi (Kinsey Millhone #1),https://www.goodreads.com/book/show/64863.A_Is_for_Alibi,Goodreads Popular by Year
1983,1,Pet Sematary,https://www.goodreads.com/book/show/33124137-pet-sematary,Goodreads Popular by Year
1983,2,ASIN: B00K3NEE56,https://www.goodreads.com/book/show/22047048,Goodreads Popular by Year
1983,3,"The Color of Magic (Discworld, #1; Rincewind, #1)",https://www.goodreads.com/book/show/34497.The_Color_of_Magic,Goodreads Popular by Year
1983,4,The Witches,https://www.goodreads.com/book/show/6327.The_Witches,Goodreads Popular by Year
1983,5,another edition,https://www.goodreads.com/book/show/20407316.another_edition,Goodreads Popular by Year
